Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
desc,,,,,,,,,,,,,,,,,,
emtn,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
poopiness,,,,,,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
anger,X,,X,,X,,,,,,,,,,,,,
angry,X,,X,,X,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
depressed,X,,X,,,X,,,,,,,,,,,,
bitter,X,,X,,X,,,,,,,,,,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
mad,X,,X,,X,,,,,,,,,,,,,
sadness,X,,X,,,X,,,,,,,,,,,,
hate,X,,X,,X,,,,,,,,,,,,,
sad,X,,X,,,X,,,,,,,,,,,,
rage,X,,X,,X,,,,,,,,,,,,,
jealousy,X,,X,,X,,,,,,,,,,,,,
frustration,X,,X,,X,,,,,,,,,,,,,
jealous,X,,X,,X,,,,,,,,,,,,,
self,,,,,,,X,,,,,,,,,,,
doubt,X,,X,X,,,,,,,,X,,,,X,,
resentful,X,,X,,X,,,,,,,,,,,,,
minorized,,,,,,,,,,,,,,,,,,
bitterness,X,,X,,X,,,,,,,,,,,,,
spite,X,,X,,X,,,,,,,,,,,,,
lonely,X,,X,,,X,,,,,,,,,,,,
hatred,X,,X,,X,,,,,,,,,,,,,
upset,X,,X,X,,,,,,,,,,,,,,
contempt,X,,X,,X,,,,,,,,,,,,,
anxious,X,,X,X,,,,,,,,,,,,,,
loathing,,,,,,,,,,,,,,,,,,
separated,,,,,,,,,,,,X,,,,,,X
revenge,X,,X,,X,,,,,,,,,,,,,
saddened,,,,,,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,
annoyance,,,,,,,,,,,,,,,,,,
anxiety,X,,X,X,,,,,,,,,,,,,,
pain,X,,X,,,,,,,,,,,,,,,
hostility,X,,X,,X,,X,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,
don't,,,,,,,,,,,,,,,,,,
know,,,,,,,,,,,,X,X,,,,,
sorrow,X,,X,,,X,,,,,,,,,,,,
passion,X,X,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,
lost,X,,X,,,X,,,,,,,,,,,,
our,,,,,,,X,,,,,,,,,,,
cool,X,X,,,,,,,,,,,,,,,,
over,,,,,,,,,,,,,,,,,,
something,,,,,,,,,,,,X,,,,X,,
unrelated,,,,,,,,,,,,X,X,,,,,
vengefulness,,,,,,,,,,,,,,,,,,
disrespect,,,,,,,,,,,,,,,,,,
embarrasment,,,,,,,,,,,,,,,,,,
vengeance,,,,,,,,,,,,,,,,,,
disappointment,X,,X,,,X,,,,,,,,,,,,
fear,X,,X,X,,,,,,,,,,,,,,
always,,,,,,,,,,,,X,,,,,X,
heartache,,,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,X,,,,X,,
feel,,,,,,,,,,,,X,X,,,,,
envy,X,,X,,X,,,,,,,,,,,,,
love,X,X,,,,,X,,,,,,,,,,,
nothing,,,,,,,,,,,,X,,,,,X,
ill,,,,,,,,,,,,,,,,,,
will,,,,,,,,,,,,,,,,,,
when,,,,,,,,,,,,,,,,,,
fell,,,,,,,,,,,,,,,,,,
and,,,,,,,,,,,,,,,,,,
into,,,,,,,,,,,,,,,,,,
every,,,,,,,,,,,,X,,,,,X,
relationship,,,,,,,X,,,,,,,,,,,
righteousness,,,,,,,,,,,,,,,,,,
confusion,,,,,,,,,,,,X,,,,X,,
pride,X,X,,,,,,,,,,,,,,,,
righteous,,,,,,,,,,,,,,,,,,
negative,,,,,,,,,,,,,,,,,,
hurtful,X,,X,,,X,,,,,,,,,,,,
disgust,X,,X,,,,,,,,,,,,,,,
