Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
accept,X,X,,,,,,,,,,X,X,,,,,
wrongdoing,X,,X,,,,,,,,,,,,,,,
move,,,,,,,,,,,,,,,,,,
often,,,,,,,,,,,,X,,,,X,,
unintentionally,,,,,,,,,,,,,,,,,,
may,,,,,,,,,,,,X,,,,X,,
against,,,,,,,,,,,,X,,,,,,X
wrong,X,,X,,,,,,,,,,,,,,,
past,,,,,,,,,,,,,,,,,,
example,,,,,,,,,,,,,,,,,,
boss,,,,,,,,,,,,,,,,,,
fired,X,,X,,,,,,,,,,,,,,,
job,,,,,,,,,,,,,,,,,,
does,,,,,,,,,,,,,,,,,,
do not like,X,X,,,,,,,,,,,,,,,,
do not,,,,,,,,,,,,,,,,,,
fond,X,X,,,,,,,,,,,,,,,,
wounded,,,,,,,,,,,,,,,,,,
want,,,,,,,,,,,,X,,,X,,,
project,,,,,,,,,,,,,,,,,,
others,,,,,,,,,,,,X,,,,,,X
has,,,,,,,,,,,,,,,,,,
done,,,,,,,,,,,,,,,,,,
bad,X,,X,,,,,,,,,,,,,,,
make,,,,,,,,,,,,X,,X,,,,
consequences,,,,,,,,,,,,X,,X,,,,
slights,,,,,,,,,,,,,,,,,,
purpose,,,,,,,,,,,,X,,X,,,,
accident,,,,,,,,,,,,,,,,,,
live,,,,,,,,,,,,,,,,,,
up,,,,,,,,,,,,,,,,,,
mistake,X,,X,,,,,,,,,X,,,X,,,
says,,,,,,,X,,,,,,,,,,,
rude,X,,X,,X,,,,,,,,,,,,,
horrible,X,,X,X,,,,,,,,,,,,,,
what,,,,,,,,,,,,,,,,,,
only,,,,,,,,,,,,,,,,,,
speak,,,,,,,X,,,,,,,,,,,
my,,,,,,,,,,,,,,,,,,
experience,,,,,,,,,,,,,,,,,,
me,,,,,,,,,,,,,,,,,,
care,X,X,,,,,,,,,,,,,,,,
about,,,,,,,,,,,,,,,,,,
emotionally,,,,,,,,,,,,,,,,,,
physically,,,,,,,,,,,,,,,,,,
refused,,,,,,,X,,,,,,,,,,,
acknowledge,,,,,,,,,,,,X,X,,,,,
caused,,,,,,,,,,,,X,,X,,,,
loved,X,X,,,,,X,,,,,,,,,,,
one's,,,,,,,,,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
validated,,,,,,,,,,,,,,,,,,
usually,,,,,,,,,,,,X,,,,X,,
likely,,,,,,,,,,,,X,,,,X,,
continues,,,,,,,,,,,,,,,,,,
affect,,,,,,,,,,,,X,,X,,,,
way,,,,,,,,,,,,,,,,,,
taken,,,,,,,,,,,,,,,,,,
affected,,,,,,,,,,,,X,,X,,,,
negatively,,,,,,,,,,,,,,,,,,
would,,,,,,,,,,,,X,,,X,,,
such,,,,,,,,,,,,,,,,,,
feelings,,,,,,,,,,,,X,X,,,,,
got,,,,,,,,,,,,,,,,,,
like,,,,,,,,,,,,,,,,,,
get,,,,,,,,,,,,,,,,,,
last,,,,,,,,,,,,,,,,,,
word,,,,,,,,,,,,,,,,,,
so,,,,,,,,,,,,,,,,,,
things,,,,,,,,,,,,,,,,,,
should,,,,,,,,,,,,X,,,X,,,
balanced,,,,,,,,,,,,,,,,,,
were,,,,,,,,,,,,,,,,,,
won't,,,,,,,,,,,,,,,,,,
until,,,,,,,,,,,,,,,,,,
equalized,,,,,,,,,,,,,,,,,,
fear,X,,X,X,,,,,,,,,,,,,,
won,X,X,,,,,,,,,,,,,,,,
over,,,,,,,,,,,,,,,,,,
disrespectful,,,,,,,,,,,,,,,,,,
offenses,X,,X,,X,,,,,,,,,,,,,
ultimately,,,,,,,,,,,,,,,,,,
stems,,,,,,,,,,,,,,,,,,
feeling,,,,,,,,,,,,X,X,,,,,
having,,,,,,,,,,,,,,,,,,
your,,,,,,,X,,,,,,,,,,,
self,,,,,,,X,,,,,,,,,,,
worth,,,,,,,,,,,,,,,,,,
belittled,,,,,,,,,,,,,,,,,,
great,X,X,,,,,,,,,,,,,,,,
offense,X,,X,,X,,,,,,,,,,,,,
occurred,,,,,,,,,,,,,,,,,,
sort,,,,,,,,,,,,X,,,,X,,
personal,X,,,,,,X,,,,,,,,,,,
injury,,,,,,,,,,,,,,,,,,
been,,,,,,,,,,,,,,,,,,
unfairly,,,,,,,,,,,,,,,,,,
treated,,,,,,,,,,,,,,,,,,
it's,,,,,,,,,,,,,,,,,,
aren't,,,,,,,,,,,,X,,,,,,X
ready,X,X,,,,,,,,,,,,,,,,
maybe,,,,,,,,,,,,X,,,,X,,
keep,,,,,,,,,,,,,,,,,,
those,,,,,,,,,,,,,,,,,,
emotions,X,,,,,,,,,,,,,,,,,
remember,,,,,,,,,,,,X,X,,,,,
happened,,,,,,,,,,,,,,,,,,
if,,,,,,,,,,,,X,,,X,X,,X
significant,,,,,,,,,,,,,,,,,,
affects,,,,,,,,,,,,X,,X,,,,
life,,,,,,,,,,,,,,,,,,
negative,,,,,,,,,,,,,,,,,,
at,,,,,,,,,,,,,,,,,,
clear,,,,,,,,,,,,X,,,,,X,
level,,,,,,,,,,,,,,,,,,
this,,,,,,,,,,,,,,,,,,
egotism,X,,X,,,,,,,,,,,,,,,
petty,X,,X,,X,,,,,,,,,,,,,
wrongdoings,,,,,,,,,,,,,,,,,,
traumatic,X,,X,,,,,,,,,,,,,,,
experiences,,,,,,,,,,,,,,,,,,
money,,,,,,,,,,,,,,,,,,
related,,,,,,,X,,,,,X,X,,,,,
events,,,,,,,,,,,,,,,,,,
premeditated,,,,,,,,,,,,,,,,,,
direct,,,,,,,,,,,,,,,,,,
indirect,,,,,,,,,,,,X,,,,X,,
ones,,,,,,,,,,,,,,,,,,
will,,,,,,,,,,,,,,,,,,
don't,,,,,,,,,,,,,,,,,,
again,,,,,,,,,,,,,,,,,,
action,,,,,,,,,,,,,,,,,,
inspired,X,X,,,,,,,,,,X,X,,,,,
reflected,,,,,,,,,,,,X,X,,,,,
false,,,,,,,,,,,,,,,,,,
image,,,,,,,,,,,,,,,,,,
themselves,,,,,,,X,,,,,,,,,,,
believe,,,,,,,,,,,,X,X,,,,,
am,,,,,,,,,,,,,,,,,,
good,X,X,,,,,,,,,,,,,,,,
taking,,,,,,,,,,,,,,,,,,
home,,,,,,,,,,,,,,,,,,
steals,X,,X,,,,,,,,,,,,,,,
fork,,,,,,,,,,,,,,,,,,
dinner,,,,,,,,,,,,,,,,,,
party,X,X,,,,,X,,,,,,,,,,,
might,,,,,,,,,,,,X,,,,X,,
identity,,,,,,,,,,,,,,,,,,
tied,,,,,,,,,,,,,,,,,,
ability,,,,,,,,,,,,,,,,,,
protect,,,,,,,,,,,,,,,,,,
cutlery,,,,,,,,,,,,,,,,,,
just,,,,,,,,,,,,,,,,,,
friends,,,,,,,X,,X,,,,,,,,,
steal,X,,X,,,,,,,,,,,,,,,
friend,,,,,,,X,,X,,,,,,,,,
shattered,,,,,,,,,,,,,,,,,,
belief,,,,,,,,,,,,X,X,,,,,
difficult,X,,X,,,,,,,,,,,,,,,
complex,,,,,,,,,,,,X,X,,,,,
unresolved,,,,,,,,,,,,X,,,,X,,
repeatedly,,,,,,,,,,,,,,,,,,
expects,,,,,,,,,,,,X,,,X,,,
met,,,,,,,X,,,,,,,,,,,
fulfilled,,,,,,,,,,,,,,,,,,
lead,,,,,,,,,,,,X,,X,,,,
disappointment,X,,X,,,X,,,,,,,,,,,,
cases,,,,,,,,,,,,,,,,,,
humiliated,X,,X,X,X,,,,,,,,,,,,,
jeolousy,,,,,,,,,,,,,,,,,,
losing,X,,X,,,X,,,,,,,,,,,,
memory,,,,,,,,,,,,X,X,,,,,
damage,X,,X,,,,,,,,,,,,,,,
reprehensible,,,,,,,,,,,,,,,,,,
acts,,,,,,,,,,,,,,,,,,
pride,X,X,,,,,,,,,,,,,,,,
easily,X,X,,,,,,,,,,,,,,,,
they've,,,,,,,X,,,,,,,,,,,
there's,,,,,,,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,,,
acknowledgement,,,,,,,,,,,,X,X,,,,,
restitution,,,,,,,,,,,,,,,,,,
source,,,,,,,,,,,,X,,X,,,,
forgiving,X,X,,,,,X,,,,,X,X,,,,,
hard,,,,,,,,,,,,,,,,,,
slighted,,,,,,,,,,,,,,,,,,
decides,,,,,,,,,,,,X,X,,,,,
onto,,,,,,,,,,,,,,,,,,
rather,,,,,,,,,,,,X,,,X,,,X
than,,,,,,,,,,,,X,,,,,,X
rid,,,,,,,,,,,,,,,,,,
still,,,,,,,,,,,,,,,,,,
perhaps,,,,,,,,,,,,X,,,,X,,
haven't,,,,,,,,,,,,X,,,,,,X
had,,,,,,,,,,,,,,,,,,
closure,,,,,,,,,,,,X,X,,,,,
topic,,,,,,,,,,,,,,,,,,
all,,,,,,,,,,,,X,,,,,X,
situation,,,,,,,,,,,,,,,,,,
jealousy,X,,X,,X,,,,,,,,,,,,,
romantic,X,X,,,,,,,,,,,,,,,,
partners,,,,,,,X,,X,,,,,,,,,
prove,,,,,,,,,,,,X,X,,,,X,
point,,,,,,,,,,,,,,,,,,
particularly,,,,,,,,,,,,X,,,,,X,
corrected,,,,,,,,,,,,X,,,,,X,
longer,,,,,,,,,,,,,,,,,,
view,,,,,,,,,,,,,,,,,,
offender,X,,X,,X,,,,,,,,,,,,,
same,,,,,,,,,,,,,,,,,,
trust,X,X,,,,,X,,,,,,,,,,,
anymore,,,,,,,,,,,,,,,,,,
reasons,,,,,,,,,,,,X,X,X,,,,
certain,X,X,,,,,,,,,,X,,,,,X,
situations,,,,,,,,,,,,,,,,,,
demoted,X,,X,,,,,,,,,,,,,,,
internalized,,,,,,,,,,,,,,,,,,
towards,,,,,,,,,,,,,,,,,,
slight,,,,,,,,,,,,,,,,,,
perpetrated,,,,,,,,,,,,,,,,,,
unto,,,,,,,,,,,,,,,,,,
incident,,,,,,,,,,,,,,,,,,
fostered,,,,,,,,,,,,,,,,,,
resolved,X,X,,,,,,,,,,X,X,,,,,
didn't,,,,,,,,,,,,X,,,,,,X
talk,,,,,,,X,,,,,,,,,,,
out,,,,,,,,,,,,,,,,,,
event,,,,,,,,,,,,,,,,,,
inconvenienced,,,,,,,,,,,,,,,,,,
any,,,,,,,,,,,,X,,,,X,,
steps,,,,,,,,,,,,,,,,,,
line,,,,,,,,,,,,,,,,,,
terrible,X,,X,,,,,,,,,,,,,,,
happens,,,,,,,,,,,,,,,,,,
consequence,,,,,,,,,,,,X,,X,,,,
causes,,,,,,,,,,,,X,,X,,,,
financial,,,,,,,,,,,,,,,,,,
burden,X,,X,,,,,,,,,,,,,,,
physical,,,,,,,,,,,,,,,,,,
mental,,,,,,,,,,,,,,,,,,
suffering,X,,X,,,X,,,,,,,,,,,,
both,,,,,,,,,,,,,,,,,,
put,,,,,,,,,,,,,,,,,,
myself,,,,,,,,,,,,,,,,,,
there,,,,,,,,,,,,,,,,,,
enough,,,,,,,,,,,,,,,,,,
create,X,X,,,,,,,,,,X,,X,,,,
where,,,,,,,,,,,,,,,,,,
arise,,,,,,,,,,,,,,,,,,
disagreements,X,,X,,,,,,,,,,,,,,,
minor,,,,,,,,,,,,,,,,,,
grateful,X,X,,,,,,,,,,,,,,,,
own,,,,,,,,,,,,,,,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
unfair,X,,X,,,,,,,,,,,,,,,
hand,,,,,,,,,,,,,,,,,,
significantly,,,,,,,,,,,,,,,,,,
took,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,
etc,,,,,,,,,,,,,,,,,,
painful,X,,X,,,,,,,,,,,,,,,
wrongdoer,,,,,,,,,,,,,,,,,,
mad,X,,X,,X,,,,,,,,,,,,,
impacted,,,,,,,,,,,,,,,,,,
