Word,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,cogproc,percept,see,hear,feel,drives,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,informal
desc,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrds,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,X,,,,,,,,,,,,,,,,,,,,,,
fear,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,,,,,,,,,,
anger,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
hurt,,,,,,,X,,X,,,X,,,X,,,X,,,,,,,,,
unforgiven,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiteful,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,
frustration,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
bitter,,X,,,,,X,,X,,X,,,,X,,,,,,,,,,,,
upsetting,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
boss,,,,,,,,,,,,,,,,,,,X,X,,,,,,,
past,,,,,,,,,,,,,,,,,,,,,,,X,,,X,
painful,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,,
sad,,X,,,,,X,,X,,,X,,,,,,,,,,,,,,,
disappointment,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
avoiding,,,,,,,X,,X,X,,,,,,,,,X,,,X,,,,,
upset,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
hard,,X,,,,,,,,,,,,,X,,,X,,,,,,,,,
wounded,,,,,,,,,,,,,,,,,,,,,,,,,,,
resentment,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
impulsive,,,,,,,,,,,,,,,,,,,,,,,,,,,
disrespectful,,,,,,,,,,,,,,,,,,,,,,,,,,,
offense,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
passive,,,,,,,,,,,,,,,,,,,X,X,,,,,,,
aggressive,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
stubborn,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
regret,,,,,,,X,,X,,,X,,X,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,,,,,,,,,,
despise,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
getting,X,,,,,,,,,,,,,,,,,,X,,X,,,,,,
even,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenge,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
injustice,,,,,,,,,,,,,,,,,,,,,,,,,,,
shame,,,,,,,X,,X,X,,,,,,,,,X,X,,,,,,,
petty,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
bad,,,,,,,X,,X,,,,,,,,,,X,,,X,,,,,
roiling,,,,,,,,,,,,,,,,,,,,,,,,,,,
angry,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
stupid,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
jealousy,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,,,,,,,,,,,,X,
term,,,,,,,,,,,,,,,,,,,,,,,,,,X,
annoyed,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
sadness,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
wasteful,,,,,,,,,,,,,,,,,,,,,,,,,,,
wronged,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
over,,,,,,,,,,,,,,,,,,,X,X,,,,,,X,
caring,,X,,,,,X,X,,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,,,,,,,,,X,
tension,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
frusteration,,,,,,,,,,,,,,,,,,,,,,,,,,,
unfair,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,
hatred,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
pain,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,,
vengeance,,,,,,,,,,,,,,,,,,,,,,,,,,,
problems,,,,,,,X,,X,,,,,X,,,,,X,,,X,,,,,
envy,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
unforgiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,
mistreatment,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheating,,,,,,,X,,X,,X,,,,,,,,X,,,,,,,,
miscommunication,,,,,,,,,,,,,,,,,,,,,,,,,,,
harsh,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,,
rude,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
remorse,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
spite,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
rudeness,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitterness,,,,,,,X,,X,,X,,,,X,,,,,,,,,,,,
unforgiving,,,,,,,,,,,,,,,,,,,,,,,,,,,
feel,X,,,,,,,,,,,,,X,X,,,X,,,,,,X,,,
hate,X,,,,,,X,,X,,X,,,,,,,,,,,,,X,,,
for,,,,,,,,,,,,,,,,,,,,,,,,,,,
