Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
no,,,,,,,,,,,,,,,,,,
situation,,,,,,,,,,,,,,,,,,
harmless,X,,,,,,,,,,,,,,,,,
valid,,,,,,,,,,,,,,,,,,
their,,,,,,,X,,,,,,,,,,,
actions,,,,,,,,,,,,,,,,,,
harmed,X,,X,,,,,,,,,,,,,,,
intend,,,,,,,,,,,,X,,X,,,,
causes,,,,,,,,,,,,X,,X,,,,
your,,,,,,,X,,,,,,,,,,,
phone,,,,,,,X,,,,,,,,,,,
fall,,,,,,,,,,,,,,,,,,
edge,,,,,,,,,,,,,,,,,,
couch,,,,,,,,,,,,,,,,,,
being,,,,,,,,,,,,,,,,,,
sensitive,,,,,,,,,,,,,,,,,,
overly,,,,,,,,,,,,,,,,,,
sad,X,,X,,,X,,,,,,,,,,,,
makes,,,,,,,,,,,,X,,X,,,,
up,,,,,,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,
things,,,,,,,,,,,,,,,,,,
right,,,,,,,,,,,,,,,,,,
tries,,,,,,,,,,,,,,,,,,
should,,,,,,,,,,,,X,,,X,,,
accident,,,,,,,,,,,,,,,,,,
purpose,,,,,,,,,,,,X,,X,,,,
acknowledge,,,,,,,,,,,,X,X,,,,,
whether,,,,,,,,,,,,X,,,,,,X
apologize,,,,,,,X,,,,,,,,,,,
doesn't,,,,,,,,,,,,,,,,,,
serve,,,,,,,,,,,,,,,,,,
small,,,,,,,,,,,,,,,,,,
aren't,,,,,,,,,,,,X,,,,,,X
really,,,,,,,,,,,,X,,,,,,X
affected,,,,,,,,,,,,X,,X,,,,
seems,,,,,,,,,,,,X,X,,,X,,
weird,X,,X,,,,,,,,,,,,,,,
just,,,,,,,,,,,,,,,,,,
more,,,,,,,,,,,,,,,,,,
damage,X,,X,,,,,,,,,,,,,,,
believe,,,,,,,,,,,,X,X,,,,,
action,,,,,,,,,,,,,,,,,,
performed,,,,,,,,,,,,,,,,,,
ignorance,,,,,,,,,,,,,,,,,,
kid,,,,,,,X,,,,,,,,,,,
make,,,,,,,,,,,,X,,X,,,,
insensitive,,,,,,,,,,,,,,,,,,
comment,,,,,,,X,,,,,,,,,,,
