Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
could,,,,,,,,,,,,X,,,X,,,
become,,,,,,,,,,,,X,X,,,,,
stronger,X,X,,,,,,,,,,,,,,,,
than,,,,,,,,,,,,X,,,,,,X
were,,,,,,,,,,,,,,,,,,
last,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,
harmed,X,,X,,,,,,,,,,,,,,,
loved,X,X,,,,,X,,,,,,,,,,,
mentally,,,,,,,,,,,,,,,,,,
do,,,,,,,,,,,,,,,,,,
cases,,,,,,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,
been,,,,,,,,,,,,,,,,,,
violated,X,,X,,X,,,,,,,,,,,,,
example,,,,,,,,,,,,,,,,,,
infidelity,,,,,,,,,,,,,,,,,,
spouce,,,,,,,,,,,,,,,,,,
cheating,X,,X,,X,,,,,,,,,,,,,
others,,,,,,,,,,,,X,,,,,,X
lot,,,,,,,,,,,,X,,,,X,,
money,,,,,,,,,,,,,,,,,,
would,,,,,,,,,,,,X,,,X,,,
also,,,,,,,,,,,,,,,,,,
worthy,,,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,
deliberately,,,,,,,,,,,,,,,,,,
caused,,,,,,,,,,,,X,,X,,,,
bodily,,,,,,,,,,,,,,,,,,
steals,X,,X,,,,,,,,,,,,,,,
being,,,,,,,,,,,,,,,,,,
deliberatly,,,,,,,,,,,,,,,,,,
rude,X,,X,,X,,,,,,,,,,,,,
hurting,X,,X,,,X,,,,,,,,,,,,
feelings,,,,,,,,,,,,X,X,,,,,
serious,X,,X,,,,,,,,,,,,,,,
did,,,,,,,,,,,,,,,,,,
repent,,,,,,,,,,,,,,,,,,
reform,,,,,,,,,,,,,,,,,,
ok,X,X,,,,,,,,,,,,,,,,
against,,,,,,,,,,,,X,,,,,,X
whom,,,,,,,X,,,,,,,,,,,
either,,,,,,,,,,,,X,,,,,,X
ignorance,,,,,,,,,,,,,,,,,,
on,,,,,,,,,,,,,,,,,,
purpose,,,,,,,,,,,,X,,X,,,,
acknowledge,,,,,,,,,,,,X,X,,,,,
let,,,,,,,,,,,,,,,,,,
alone,X,,X,,,X,,,,,,,,,,,,
apologize,,,,,,,X,,,,,,,,,,,
doing,,,,,,,,,,,,,,,,,,
might,,,,,,,,,,,,X,,,,X,,
force,,,,,,,,,,,,X,,X,,,,
them,,,,,,,X,,,,,,,,,,,
admit,,,,,,,X,,,,,X,X,,,,,
actions,,,,,,,,,,,,,,,,,,
although,,,,,,,,,,,,X,,,,,,X
usually,,,,,,,,,,,,X,,,,X,,
find,,,,,,,,,,,,X,X,,,,,
somewhat,,,,,,,,,,,,X,,,,X,,
beyond,,,,,,,,,,,,,,,,,,
my,,,,,,,,,,,,,,,,,,
conscious,,,,,,,,,,,,X,X,,,,,
control,,,,,,,,,,,,X,,X,,,,
grudges,X,,X,,X,,X,,,,,,,,,,,
beneficial,X,X,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,X,,,,X,,
circumstances,,,,,,,,,,,,,,,,,,
gone,,,,,,,,,,,,,,,,,,
through,,,,,,,,,,,,,,,,,,
great,X,X,,,,,,,,,,,,,,,,
trauma,X,,X,,,,,,,,,,,,,,,
hands,,,,,,,,,,,,,,,,,,
another,,,,,,,,,,,,,,,,,,
seems,,,,,,,,,,,,X,X,,,X,,
reasonable,,,,,,,,,,,,X,X,X,,,,
believe,,,,,,,,,,,,X,X,,,,,
by,,,,,,,,,,,,,,,,,,
friend,,,,,,,X,,X,,,,,,,,,
cheated,X,,X,,X,,,,,,,,,,,,,
wrong,X,,X,,,,,,,,,,,,,,,
such,,,,,,,,,,,,,,,,,,
got,,,,,,,,,,,,,,,,,,
fired,X,,X,,,,,,,,,,,,,,,
from,,,,,,,,,,,,,,,,,,
job,,,,,,,,,,,,,,,,,,
lie,,,,,,,,,,,,,,,,,,
assuming,,,,,,,,,,,,X,X,,,X,,
doesn't,,,,,,,,,,,,,,,,,,
too,,,,,,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,,,,
you've,,,,,,,X,,,,,,,,,,,
severely,X,,X,,,,,,,,,,,,,,,
who,,,,,,,X,,,,,,,,,,,
strong,X,X,,,,,,,,,,,,,,,,
relationship,,,,,,,X,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,
stakes,,,,,,,,,,,,,,,,,,
high,,,,,,,,,,,,,,,,,,
significant,,,,,,,,,,,,,,,,,,
after,,,,,,,,,,,,,,,,,,
together,,,,,,,X,,,,,,,,,,,
none,,,,,,,,,,,,,,,,,,
this,,,,,,,,,,,,,,,,,,
healthy,X,X,,,,,,,,,,,,,,,,
attitude,,,,,,,,,,,,,,,,,,
all,,,,,,,,,,,,X,,,,,X,
way,,,,,,,,,,,,,,,,,,
have,,,,,,,,,,,,,,,,,,
affects,,,,,,,,,,,,X,,X,,,,
term,,,,,,,,,,,,,,,,,,
aspects,,,,,,,,,,,,,,,,,,
like,,,,,,,,,,,,,,,,,,
career,,,,,,,,,,,,,,,,,,
over,,,,,,,,,,,,,,,,,,
conceivably,,,,,,,,,,,,,,,,,,
cause,,,,,,,,,,,,X,,X,,,,
fair,X,X,,,,,,,,,,,,,,,,
want,,,,,,,,,,,,X,,,X,,,
remember,,,,,,,,,,,,X,X,,,,,
how,,,,,,,,,,,,X,,X,,,,
situation,,,,,,,,,,,,,,,,,,
made,,,,,,,,,,,,X,,X,,,,
feel,,,,,,,,,,,,X,X,,,,,
make,,,,,,,,,,,,X,,X,,,,
mistake,X,,X,,,,,,,,,X,,,X,,,
truly,X,X,,,,,,,,,,X,,,,,X,
amends,,,,,,,,,,,,,,,,,,
behind,,,,,,,,,,,,,,,,,,
back,,,,,,,,,,,,,,,,,,
then,,,,,,,,,,,,,,,,,,
continued,,,,,,,,,,,,,,,,,,
remind,,,,,,,,,,,,,,,,,,
despite,,,,,,,,,,,,X,,,,,,X
knowing,,,,,,,,,,,,X,X,,,,,
completely,,,,,,,,,,,,X,,,,,X,
disregards,,,,,,,,,,,,,,,,,,
place,,,,,,,,,,,,,,,,,,
world,,,,,,,,,,,,,,,,,,
own,,,,,,,,,,,,,,,,,,
personal,X,,,,,,X,,,,,,,,,,,
gain,,,,,,,,,,,,,,,,,,
satisfaction,X,X,,,,,,,,,,,,,,,,
remorse,X,,X,,,X,,,,,,,,,,,,
intentionally,,,,,,,,,,,,X,,X,,,,
gets,,,,,,,,,,,,,,,,,,
murdered,X,,X,,X,,,,,,,,,,,,,
justice,,,,,,,,,,,,,,,,,,
found,,,,,,,,,,,,X,X,,,,,
plans,,,,,,,,,,,,,,,,,,
executes,,,,,,,,,,,,,,,,,,
scheme,,,,,,,,,,,,,,,,,,
me,,,,,,,,,,,,,,,,,,
family,,,,,,,X,X,,,,,,,,,,
members,,,,,,,X,,,,,,,,,,,
told,,,,,,,X,,,,,,,,,,,
secret,,,,,,,X,,,,,X,X,,,,,
trusted,X,X,,,,,X,,,,,,,,,,,
else,,,,,,,,,,,,X,,,,,,X
will,,,,,,,,,,,,,,,,,,
protect,,,,,,,,,,,,,,,,,,
further,,,,,,,,,,,,,,,,,,
boss,,,,,,,,,,,,,,,,,,
ideas,,,,,,,,,,,,X,X,,,,,
claims,,,,,,,,,,,,,,,,,,
her,,,,,,,X,,,X,,,,,,,,
feeling,,,,,,,,,,,,X,X,,,,,
careful,,,,,,,,,,,,,,,,,,
sharing,X,X,,,,,X,,,,,,,,,,,
held,,,,,,,,,,,,,,,,,,
abuser,X,,X,,X,,,,,,,,,,,,,
traumatic,X,,X,,,,,,,,,,,,,,,
event,,,,,,,,,,,,,,,,,,
purposely,,,,,,,,,,,,X,,X,,,,
repeatedly,,,,,,,,,,,,,,,,,,
even,,,,,,,,,,,,,,,,,,
tell,,,,,,,X,,,,,,,,,,,
bothers,X,,X,,X,,,,,,,,,,,,,
couple,,,,,,,,,,,,,,,,,,
years,,,,,,,,,,,,,,,,,,
backstab,,,,,,,,,,,,,,,,,,
interview,,,,,,,X,,,,,,,,,,,
really,,,,,,,,,,,,X,,,,,,X
work,,,,,,,,,,,,,,,,,,
going,,,,,,,,,,,,,,,,,,
secretly,,,,,,,X,,,,,,,,,,,
cancels,,,,,,,,,,,,,,,,,,
husband,,,,,,,X,X,,,X,,,,,,,
defended,X,,X,,,,,,,,,,,,,,,
his,,,,,,,X,,,,X,,,,,,,
religion's,,,,,,,,,,,,,,,,,,
covering,,,,,,,,,,,,,,,,,,
up,,,,,,,,,,,,,,,,,,
pedophiles,,,,,,,,,,,,,,,,,,
instead,,,,,,,,,,,,X,,,,,,X
reporting,,,,,,,,,,,,,,,,,,
crimes,,,,,,,,,,,,,,,,,,
police,,,,,,,,,,,,,,,,,,
he,,,,,,,X,,,,X,,,,,,,
believes,,,,,,,,,,,,X,X,,,,,
jehovah,,,,,,,,,,,,,,,,,,
care,X,X,,,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,,,,,
armageddon,,,,,,,,,,,,,,,,,,
alright,X,X,,,,,,,,,,,,,,,,
was,,,,,,,,,,,,,,,,,,
once,,,,,,,,,,,,,,,,,,
group,,,,,,,X,,,,,,,,,,,
project,,,,,,,,,,,,,,,,,,
girl,,,,,,,X,,,X,,,,,,,,
turn,,,,,,,,,,,,,,,,,,
part,,,,,,,,,,,,,,,,,,
assignment,,,,,,,,,,,,,,,,,,
notice,,,,,,,,,,,,X,X,,,,,
she,,,,,,,X,,,X,,,,,,,,
didn't,,,,,,,,,,,,X,,,,,,X
come,,,,,,,,,,,,,,,,,,
class,,,,,,,,,,,,,,,,,,
spoke,,,,,,,X,,,,,,,,,,,
poorly,X,,X,,,,,,,,,,,,,,,
rest,,,,,,,,,,,,,,,,,,
everyone,,,,,,,X,,,,,X,,,,,X,
knew,,,,,,,,,,,,X,X,,,,,
because,,,,,,,,,,,,X,,X,,,,
we,,,,,,,X,,,,,,,,,,,
threw,,,,,,,,,,,,,,,,,,
under,,,,,,,,,,,,,,,,,,
bus,,,,,,,,,,,,,,,,,,
telling,,,,,,,X,,,,,,,,,,,
professor,,,,,,,,,,,,,,,,,,
what,,,,,,,,,,,,,,,,,,
had,,,,,,,,,,,,,,,,,,
happened,,,,,,,,,,,,,,,,,,
i've,,,,,,,,,,,,,,,,,,
classes,,,,,,,,,,,,,,,,,,
since,,,,,,,,,,,,X,,X,,,,
refuse,,,,,,,X,,,,,,,,,,,
complete,,,,,,,,,,,,X,,,,,X,
give,,,,,,,X,,,,,,,,,,,
us,,,,,,,X,,,,,,,,,,,
heads,,,,,,,,,,,,,,,,,,
excuse,,,,,,,X,,,,,,,,,,,
deliberate,,,,,,,,,,,,,,,,,,
action,,,,,,,,,,,,,,,,,,
means,,,,,,,,,,,,X,X,,,,,
happen,,,,,,,,,,,,,,,,,,
there,,,,,,,,,,,,,,,,,,
opponents,,,,,,,,,,,,,,,,,,
identified,,,,,,,,,,,,X,X,,,,,
presents,,,,,,,,,,,,,,,,,,
itself,,,,,,,,,,,,,,,,,,
taken,,,,,,,,,,,,,,,,,,
live,,,,,,,,,,,,,,,,,,
necessary,,,,,,,,,,,,X,,,,,X,
respond,,,,,,,X,,,,,,,,,,,
any,,,,,,,,,,,,X,,,,X,,
which,,,,,,,,,,,,,,,,,,
child,,,,,,,X,,,,,,,,,,,
affected,,,,,,,,,,,,X,,X,,,,
advantage,X,X,,,,,,,,,,,,,,,,
innocent,X,X,,,,,,,,,,,,,,,,
harassment,X,,X,,X,,,,,,,,,,,,,
case,,,,,,,,,,,,,,,,,,
repeated,,,,,,,,,,,,,,,,,,
unacceptable,X,,X,,,,,,,,,X,X,,,,,
trapping,,,,,,,,,,,,,,,,,,
maliciously,,,,,,,,,,,,,,,,,,
takes,,,,,,,,,,,,,,,,,,
detriment,,,,,,,,,,,,,,,,,,
proven,,,,,,,,,,,,X,X,,,,X,
youre,,,,,,,X,,,,,,,,,,,
wont,,,,,,,,,,,,,,,,,,
concede,,,,,,,,,,,,,,,,,,
much,,,,,,,,,,,,,,,,,,
unnecessary,,,,,,,,,,,,,,,,,,
