Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
on,,,,,,,,,,,,,,,,,,
present,,,,,,,,,,,,,,,,,,
forgive,X,X,,,,,X,,,,,X,X,,,,,
apology,,,,,,,X,,,,,,,,,,,
kill,X,,X,,X,,,,,,,,,,,,,
tired,,,,,,,,,,,,,,,,,,
hatred,X,,X,,X,,,,,,,,,,,,,
intention,,,,,,,,,,,,X,,X,,,,
mistake,X,,X,,,,,,,,,X,,,X,,,
off,,,,,,,,,,,,,,,,,,
annoyance,,,,,,,,,,,,,,,,,,
inspirational,X,X,,,,,,,,,,X,X,,,,,
feel,,,,,,,,,,,,X,X,,,,,
like,,,,,,,,,,,,,,,,,,
settle,,,,,,,,,,,,,,,,,,
issues,,,,,,,,,,,,,,,,,,
even,,,,,,,,,,,,,,,,,,
i'm,,,,,,,,,,,,,,,,,,
one,,,,,,,,,,,,,,,,,,
victim,X,,X,,,,,,,,,,,,,,,
nervous,X,,X,X,,,,,,,,,,,,,,
move,,,,,,,,,,,,,,,,,,
serious,X,,X,,,,,,,,,,,,,,,
rancor,,,,,,,,,,,,,,,,,,
lost,X,,X,,,X,,,,,,,,,,,,
shrewd,,,,,,,,,,,,,,,,,,
familiar,,,,,,,,,,,,,,,,,,
get,,,,,,,,,,,,,,,,,,
solitude,,,,,,,,,,,,,,,,,,
irritated,X,,X,X,,,,,,,,,,,,,,
single,,,,,,,,,,,,,,,,,,
minded,,,,,,,,,,,,,,,,,,
weak,X,,X,,,,,,,,,,,,,,,
never,,,,,,,,,,,,X,,,,,X,
forgetting,,,,,,,,,,,,,,,,,,
jealousy,X,,X,,X,,,,,,,,,,,,,
blackmail,,,,,,,,,,,,,,,,,,
apologize,,,,,,,X,,,,,,,,,,,
losing,X,,X,,,X,,,,,,,,,,,,
retaliation,,,,,,,,,,,,,,,,,,
wronged,X,,X,,,,,,,,,,,,,,,
emotions,X,,,,,,,,,,,,,,,,,
instinct,,,,,,,,,,,,,,,,,,
disgusted,X,,X,,,,,,,,,,,,,,,
obtuse,,,,,,,,,,,,,,,,,,
frustrated,X,,X,,X,,,,,,,,,,,,,
coldness,,,,,,,,,,,,,,,,,,
tiring,,,,,,,,,,,,,,,,,,
longing,X,,X,,,X,,,,,,,,,,,,
vindicated,,,,,,,,,,,,,,,,,,
confrontation,X,,X,,X,,,,,,,,,,,,,
hurtful,X,,X,,,X,,,,,,,,,,,,
stomach,,,,,,,,,,,,,,,,,,
ulcers,,,,,,,,,,,,,,,,,,
fair,X,X,,,,,,,,,,,,,,,,
ignorance,,,,,,,,,,,,,,,,,,
silence,,,,,,,,,,,,,,,,,,
