Word	01                    care.virtue	02                    care.vice	03                    fairness.virtue	04                    fairness.vice	05                    loyalty.virtue	06                    loyalty.vice	07                    authority.virtue	08                    authority.vice	09                    sanctity.virtue	10                    sanctity.vice	11                    moral	
acknowledged											
content											
cares											
world											
truly											
moral											X
unforgiveable											
which											
narcissistic											
inappropriate											
relationships											
paranoia											
wanting											
punish											
behaves											
natural											
reaction											
especially											
take											
start											
mentioned											
before											
continued											
full											
then											
went											
through											
anyway											
intent											
malicious											
disregards											
definitely											
stole											
boy											
girlfriend											
backstabbed											
worst											
ever											
children											
retrospect											
always											
causing											
intensely											
livelihood											
endangered		X									
embarrassed											
ashamed											
haaving											
noticeable											
expected											
positive											
closer											
wanted											
mechanism											
throw											
off											
target											
case											
unless											
man											
killed		X									
sister											
away											
hs											
disgusted										X	
anguish											
essentially											
cut											
lives											
moment											
us											
disputes											
arguments											
resolving											
committed											
imagine											
punishment											
simply											
sufficient											
allowing											
accountable											
cuz											
sweet											
faith											
improvement											
perceive											
irrevocably											
fester											
small											
grows											
original											
distorted											
memories											
miscommunication											
long											
forgotten											
remembers											
begin											
scarred											
previous											
encounter											
trouble											
safety	X										
future											
understanding											
embarrasments											
problems											
theft											
release											
continually											
jealous											
accomplishes											
abuse		X									
group					X						
resulted											
amends											
infidelity											
going											
into											
changed											
actually											
perspective											
considered											
details											
sides											
depends											
severity											
incurred											
overcomes											
history											
deep											
lifetime											
quite											
maintain											
seem											
work											
victim											
circumstance											
heard											
fellow					X						
bring											
betraying											
yes											
settle											
internal											
forget											
grandfather											
his											
brother											
years											
he											
died											
canasta											
game											
decide											
ya											
stop											
part											
played											
little											
drama											
guy's											
fault											
victims											
emtionally											
resentful											
admit											
fell											
failed											
meet											
continuously											
communication											
surrounding											
shut											
caught											
committing											
shouldn't											
blanket											
statement											
tolerance											
willingness											
possibly											
stem											
breach											
constant			X								
fighting		X									
avoid											
invigorating											
person's											
proper											X
apologies											
rectify											
happy											
overall											
ended											
thinks											
ruined											
romantically											
toward											
residual											
dealing											
offers											
protection	X										
allow											
wounds		X									
entitlement											
disrespected								X			
harbor											
ill											
anything											
relatively											
deeply											
traumatizing											
profound											
appropriately											
hurtful		X									
harms		X									
deserves											
sake											
effected											
forever											
spite											
carelessly											
defense											
further											
basically											
irrational											
our											
severe											
breaches											
attempt											
redress											
grievance											
conflict											
members											
unacceptable											
process											
chosen											
handled											
differently											
lot											
thye											
nothing											
lose											
circle											
safe	X										
resent											
based											
pessimistic											
incredible											
harder											
recompense											
fed											
attitude											
quarrel											
misunderstanding											
bottling											
resolve											
amicably											
psychologically											
unforgiving											
shortcomings											
sure											
